Formula,M,X,T,Work_function,Heat_of_formation,Energy_above_convex_hull,Length(x),Radius_of_orbital_of_metal,Radius_of_orbital_of_support,Radius_of_orbital_of_termination,Ionisation_potential_of_metal,Ionisation_potential_of_support,Ionisation_potential_of_termination,Electronegativity_of_metal,Electronegativity_of_support,Electronegativity_of_termination,Electron_affinity_of_metal,Electron_affinity_of_support,Electron_affinity_of_termination
Ti3F2N2,Ti,N,F,4.470408025,-2.228438487,0.088134143,298.3,48.9,48.8,36,6.8282,14.5341,17.4228,1.54,3.04,3.98,0.087,-0.07,3.401
Zr3F2N2,Zr,N,F,3.854569041,-2.283108467,0.13372424,318.5,79,48.8,36,6.6339,14.5341,17.4228,1.33,3.04,3.98,0.427,-0.07,3.401
Nb3N2O2,Nb,N,O,5.433290198,-1.616996772,0.209659096,306.4,74.7,48.8,41.4,6.7588,14.5341,13.618,1.6,3.04,3.44,0.894,-0.07,1.439
V3N2O2,V,N,O,5.986508388,-1.509284502,0.141477507,288,44.9,48.8,41.4,6.746,14.5341,13.618,1.63,3.04,3.44,0.526,-0.07,1.439
Cr4C3H2O2,Cr,C,OH,1.563619794,-0.413045594,0.262213001,301.3,42.7,59.6,41.4,6.766,11.2603,13.017,1.66,2.55,2.82,0.6758,1.262,1.827
Nb4C3H2O2,Nb,C,OH,1.964216946,-0.916306235,0.154598348,316,74.7,59.6,41.4,6.7588,11.2603,13.017,1.6,2.55,2.82,0.894,1.262,1.827
V4C3H2O2,V,C,OH,1.808413781,-0.799695603,0.147011709,296.1,44.9,59.6,41.4,6.746,11.2603,13.017,1.63,2.55,2.82,0.526,1.262,1.827
Cr4H2N3O2,Cr,N,OH,1.960124213,-0.772735978,0.106556231,302.6,42.7,48.8,41.4,6.766,14.5341,13.017,1.66,3.04,2.82,0.6758,-0.07,1.827
Nb4H2N3O2,Nb,N,OH,2.340015836,-1.122681166,0.261396652,320.4,74.7,48.8,41.4,6.7588,14.5341,13.017,1.6,3.04,2.82,0.894,-0.07,1.827
V4H2N3O2,V,N,OH,1.879607244,-1.103983363,0.180354428,299.8,44.9,48.8,41.4,6.746,14.5341,13.017,1.63,3.04,2.82,0.526,-0.07,1.827
Hf3C2,Hf,C,Hf,4.328128024,-0.367620157,0.3618767,329.8,82.9,59.6,82.9,6.825,11.2603,6.825,1.3,2.55,1.3,0.178,1.262,0.178
Sc3C2,Sc,C,Sc,3.626033808,-0.284050376,0.205291853,337.2,53.9,59.6,53.9,6.5614,11.2603,6.5614,1.36,2.55,1.36,0.189,1.262,0.189
W3C2,W,C,W,4.970470299,0.588552569,0.751129437,289.3,74.6,59.6,74.6,7.98,11.2603,7.98,2.36,2.55,2.36,0.816,1.262,0.816
Hf3N2,Hf,N,Hf,4.463562762,-0.877809199,0.475430254,315,82.9,48.8,82.9,6.825,14.5341,6.825,1.3,3.04,1.3,0.178,-0.07,0.178
Sc3N2,Sc,N,Sc,4.034214553,-1.242464607,0.31264751,321.8,53.9,48.8,53.9,6.5614,14.5341,6.5614,1.36,3.04,1.36,0.189,-0.07,0.189
